id,lon,lat,name,county_name
1,-85.742393,30.135054,St. Andrews State Park,Bay
2,-80.220711,28.502169,CARGO PIER #4 MATERIALS,Brevard
3,-80.219978,28.501055,The Concrete Culverts -- FSFA REEF SITE #2,Brevard
4,-80.216934,28.505844,FSFA REEF SITE #2,Brevard
5,-80.204491,28.335209,TITAN TRANSPORTER #4,Brevard
6,-80.202766,28.334112,Wreck of the Sufix I,Brevard
7,-80.113686,26.059675,John U. Lloyd Beach State Park,Broward
8,-80.096901,26.163527,Vista Park,Broward
9,-80.095139,26.083691,Barracuda Reef Moorings,Broward
10,-80.093109,26.187059,Datura Street Reef Dive,Broward
11,-80.090157,26.129318,Caves and Ledges Moorings,Broward
12,-80.088959,26.156324,Oakland Ridge Moorings,Broward
13,-80.086723,26.05686,Gap Ledge to Sharpeto Drift,Browardlon
14,-80.086685,25.982216,Tenneco Tower,Broward
15,-80.086296,26.073591,Paradise to Pocket Drift,Broward
16,-80.083633,26.218903,Pompano Ledge Moorings,Broward
17,-80.07505,26.156672,Mercedes Wreck,Broward
18,-80.07473,26.309944,Deerfield Beach Ledges Shore Dive,Broward
19,-80.069733,26.227989,Ray's Drift Dive,Broward
20,-82.592522,28.894541,Hunter Spring Park,Citrus
21,-82.588974,28.888372,3 Sisters Springs Federal Park,Citrus
22,-82.573395,28.51738,Weeki Wachee Spring,Citrus
23,-82.151901,25.842716,The Black Hole,Collier
24,-82.7714,29.952728,Ichetucknee Springs State Park (South Entrance) CAVE DIVING ONLY,Columbia
25,-82.760109,29.985497,Ichetucknee Springs State Park (North Entrance) CAVE DIVING ONLY,Columbia
26,-83.383331,29.275,BETTY CASTOR REEF,Dixie
27,-83.317719,28.986349,SUWANNEE REGIONAL REEF,Dixie
28,-87.154541,30.088108,Florida Underwater Museum site: USS Massachusetts,Escambia
29,-87.154541,30.168877,USS Massachusetts,Escambia
30,-82.760277,29.973333,02322694 DEVIL'S EYE SPRING NR HILDRETH,Gilchrist
31,-81.489372,27.555157,Lake Denton,Highlands
32,-85.948547,30.770466,Vortex Spring,Holmes
33,-80.450935,27.862537,Sebastian Inlet State Park,Indian River
34,-85.141304,30.788996,Twin Caves,Jackson
35,-85.140091,30.790424,Jackson Blue,Jackson
36,-83.234718,30.127625,Lafayette Blue Springs,Lafayette
37,-83.131851,30.128843,Peacock Springs State Park,Lafayette
38,-82.998993,29.999071,Troy Spring State Park,Lafayette
39,-81.614685,29.064573,Alexander Springs Wilderness,Lake
40,-82.834702,26.296249,Fantastico,Lee
41,-82.414803,26.547533,Vixen Wreck Reef,Lee
42,-82.413078,26.54999,Shirley D Shrimp Boat Reef,Lee
43,-82.412392,26.415703,Arc Reef,Lee
44,-82.408447,26.951452,Stump Pass Beach State Park,Lee
45,-82.319183,26.420006,Blandas Reef,Lee
46,-82.288284,26.634569,Helens Barges,Lee
47,-82.285027,26.519966,Wildmans Reef,Lee
48,-82.283302,26.519428,Paces Place Barge Reef,Lee
49,-82.245598,26.686085,Cayo Costa State Park,Lee
50,-82.235069,26.560892,Redfish Pass Reef 1 Reef,Lee
51,-82.187691,26.76186,Danger Reef,Lee
52,-82.066498,26.335884,Doc Kline Artificial Reef 30',Lee
53,-82.024612,26.409092,Sanibel Reef 20',Lee
54,-82.008133,26.375261,Causeway Reef-Artificial,Lee
55,-81.958694,26.34573,G-H28 Artificial Reef 28',Lee
56,-81.907883,26.377108,May Reef,Lee
57,-81.827385,26.273258,Delnor-Wiggins Pass State Park,Lee
58,-83.431534,29.110483,CEDAR KEY REEF SITE 3,Levy
59,-83.205002,29.121099,COAL ASH REEF,Levy
60,-82.966286,29.504597,Manatee Springs State Park,Levy
61,-82.935776,29.591019,Fanning Springs State Park,Levy
62,-82.91217,29.082666,BIG BEND REEFS,Levy
63,-82.707176,29.82617,Ginnie Springs Outdoors Llc,Levy
64,-82.589714,28.887913,Idiots Delight Spring,Levy
65,-82.485565,29.387596,Blue Grotto Dive Resort,Levy
66,-82.476425,29.407526,Devil's Den,Levy
67,-83.244781,30.483,Madison Blue Springs State Park,Madison
68,-82.757263,27.579502,Magewind,Manatee
69,-82.743011,27.55546,Passage Key,Manatee
70,-82.738037,27.615406,USS Narcissus,Manatee
71,-82.734039,27.613865,Fort de Soto Park,Manatee
72,-82.701111,27.469896,Regina Sugar Barge,Manatee
73,-82.63504,27.358353,Zalophus,Manatee
74,-82.43042,29.094578,Rainbow Springs State Park,Marion
75,-81.73053,29.350838,Salt Springs,Marion
76,-81.64399,29.24585,Silver Glen Springs,Marion
77,-80.1633,27.151588,St. Lucie Inlet Preserve State Park,Martin
78,-80.135223,25.695911,Neptune Memorial Reef,Miami-Dade
79,-81.735535,24.447149,Vandenberg Artificial Reef/Wreck,Monroe
80,-81.274323,24.659721,Bahia Honda State Park,Monroe
81,-80.679916,24.863369,San Pedro Underwater Archaeological Preserve State Park,Monroe
82,-80.67733,24.877188,Indian Key Historic State Park,Monroe
83,-80.643768,24.824133,Cannabis Cruiser Wreck,Monroe
84,-80.50602,24.921974,Crocker Ridges,Monroe
85,-80.501167,24.927633,Davis Reef,Monroe
86,-80.409698,25.127768,John Pennekamp Coral Reef State Park,Monroe
87,-80.37941,24.995083,Bib Wreck,Monroe
88,-80.345764,25.006285,Duane,Monroe
89,-80.299759,25.065386,Speigel Grove,Monroe
90,-80.297012,25.122906,Christ of the Abyss,Monroe
91,-80.211868,25.220472,Carysfort Reef,Monroe
92,-80.067711,26.362453,Red Reef Park,Palm Beach
93,-80.066643,26.314344,Separated Rocks Drift,Palm Beach
94,-80.06427,26.340017,Skips Reef Drift Dive,Palm Beach
95,-80.063766,26.231068,Rodeo 25 Wreck,Palm Beach
96,-80.063553,26.274021,Abby to Rabbit Drift Dive,Palm Beach
97,-80.05909,26.322653,Sea Emperor Wreck,Palm Beach
98,-80.058746,26.768295,Ocean Quest Scuba Charters,Palm Beach
99,-80.054543,26.374569,Boca North End Drift Dive,Palm Beach
100,-80.05188,26.326653,Hall of Fame Moorings,Palm Beach
101,-80.051323,26.413704,Delray Drift Dive,Palm Beach
102,-80.045547,26.773209,Peanut Island,Palm Beach
103,-80.044823,26.826471,John D. MacArthur Beach State Park,Palm Beach
104,-80.043983,26.782625,Phil Foster Park/Blue Heron Bridge Dive,Palm Beach
105,-80.037201,26.478947,MV Castor Wreck,Palm Beach
106,-80.032372,26.700869,Worth Avenue Pier Debris,Palm Beach
107,-80.029907,26.71763,Breakers ,Palm Beach
108,-80.025101,26.628431,Horseshoe Reef,Palm Beach
109,-80.022011,26.946861,Jupiter Double Ledges Drift Dive,Palm Beach
110,-80.017632,26.71579,4th Window Drift Dive,Palm Beach
111,-80.016861,26.703753,Flower Garden,Palm Beach
112,-80.016174,26.786533,Mizpah & PC 1174,Palm Beach
113,-80.016174,26.788832,Amaryllis Wreck,Palm Beach
114,-80.007851,26.964268,ESSO Bonaire III Wreck,Palm Beach
115,-80.007462,26.963272,Playpen (Miss Jenny),Palm Beach
116,-80.004158,26.821926,Half Mile Drift Dive,Palm Beach
117,-80.003815,26.792816,Princess Ann Ferry,Palm Beach
118,-79.991798,26.608788,Boynton Ledge Drift Dive,Palm Beach
119,-82.699257,28.355469,Palm Sink Cave Dive,Pasco
120,-82.609177,28.554922,Eagles Nest Sinkhole,Pasco
121,-82.948151,27.868217,"""Sheridan Wreck",Pinellas
122,-82.947807,27.868824,Blackthron USCGC,Pinellas
123,-82.913818,27.993189,SS Gulfport 1943,Pinellas
124,-82.819626,28.019848,Caladesi Island State Park,Pinellas
125,-82.773056,28.106623,Wall Spring State Park,Pinellas
126,-82.763443,27.577221,Cindy- Tug Boat Wreck,Pinellas
127,-82.668098,28.279718,Rock Sink CAVE DIVE,Pinellas
128,-82.614334,27.697651,Utopia Wreck,Pinellas
129,-82.578545,28.425737,Arch Sink (CAVE DIVE),Pinellas
130,-82.522087,27.764368,Dania Wreck,Pinellas
131,-82.503502,27.781,Anna B Wreck 1892,Pinellas
132,-82.466568,27.808083,Alsatia Wreck,Pinellas
133,-87.007599,30.041756,USS Oriskany,Santa Rosa
134,-82.850647,26.757874,Bayronto Wreck - Venice,Sarasota
135,-82.683334,27.085333,Antonia Ensen Wreck,Sarasota
136,-82.453362,27.076799,Venice Beach,Sarasota
137,-83.649635,29.166849,WHITE CITY BRIDGE,St. Lucie
138,-80.301758,27.484144,Fort Pierce Inlet State Park,St. Lucie
139,-82.080917,29.098778,Paradise Springs,Sumter
140,-81.3759,29.142567,DeLeon Springs State Park,Volusia
141,-81.33979,28.944155,BLUE SPRINGS,Volusia
142,-80.829506,29.357342,The Concrete Piles,Volusia
143,-80.805473,29.119623,Old Port Orange Bridge Rubble,Volusia
144,-80.775085,29.198175,SITE 12 Broadway Bridge Deposits,Volusia
145,-80.748138,29.316339,Antilles Star,Volusia
146,-80.747795,29.199224,USS Mindanao,Volusia
147,-80.745216,29.19488,Rio Yuna,Volusia
148,-80.698357,29.273224,Site 11 PILES,Volusia
149,-80.69767,29.116776,Reef Balls & South Culverts,Volusia
150,-80.697327,29.118574,1990 Center Culverts Dive Site,Volusia
151,-80.694237,29.16925,SITE 13 CAR TRANSPORT TRAILERS,Volusia
152,-80.693123,29.11775,Argoil Barge,Volusia
153,-80.683594,29.020149,The Water Barge (Volusia Reefs: SITE 7),Volusia
154,-80.675011,29.152761,Semarca Ship,Volusia
155,-80.358124,29.353453,100FT. Ship and USN Intruder Plane Wrecks,Volusia
156,-86.566772,30.082167,SS Tarpon,Walton
