id,common_name,scientific_name,image_url,county,freshwater,Saltwater
1,African jewelfish,Hemichromis bimaculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Hemichromis_bimaculatus1.jpg/120px-Hemichromis_bimaculatus1.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
5,Alligator gar,Atractosteus spatula,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Alligator_Gar_10.JPG/120px-Alligator_Gar_10.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
7,Amazon sailfin catfish,Pterygoplichthys pardalis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Liposarcus_pardalis.jpg/120px-Liposarcus_pardalis.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
13,American pickerel,Esox americanus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Esox_americanus_vermiculatus.jpg/120px-Esox_americanus_vermiculatus.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
15,Amur carp,Cyprinus rubrofuscus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Cyprinus_rubrofuscus_Bleeker.jpg/120px-Cyprinus_rubrofuscus_Bleeker.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
17,Asian carp,,,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
18,Asian swamp eel,Monopterus albus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Monopterus_albus_2.jpg/120px-Monopterus_albus_2.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
45,Banded cichlid,Heros severus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Heros_severus.JPG/120px-Heros_severus.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
46,Banded leporinus,Leporinus fasciatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Leporinus_fasciatus2.jpg/120px-Leporinus_fasciatus2.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
53,Barred sorubim,Pseudoplatystoma fasciatum,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Pseudoplatystoma-fasciatum.jpg/120px-Pseudoplatystoma-fasciatum.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
68,Bighead carp,Hypophthalmichthys nobilis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tolstolobec_pestr%C3%BD.jpg/120px-Tolstolobec_pestr%C3%BD.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
71,Black acara,Cichlasoma bimaculatum,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/PSM_V68_D531_Chiclasoma_bimaculatum_of_the_chiclidae.png/120px-PSM_V68_D531_Chiclasoma_bimaculatum_of_the_chiclidae.png,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
72,Black arowana,Osteoglossum ferreirai,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Osteoglossum_ferreira_-_Zoo_Frankfurt_1.jpg/120px-Osteoglossum_ferreira_-_Zoo_Frankfurt_1.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
73,Black carp,Mylopharyngodon piceus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mylopharyngodon_piceus.jpg/120px-Mylopharyngodon_piceus.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
74,Black crappie,Pomoxis nigromaculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Pomoxis_nigromaculatus1.jpg/120px-Pomoxis_nigromaculatus1.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
